Accuracy,Precision,Recall
0.9582093106322181,0.9577941660441294,0.9583659085747375
0.9566615073223003,0.9563367242555126,0.9567925822769257
0.9536849624955351,0.9530841850403904,0.9538172642751976
0.9595141700404858,0.9591979389187739,0.9596120484480111
0.9532031436056204,0.9529738779759808,0.9532333890885292
0.9577280304834485,0.9579802610653152,0.9572221041280806
0.9560609668968802,0.9555018050594972,0.9562517398903811
0.9595141700404858,0.9591236991636612,0.9597274631512521
0.957370802572041,0.9565743040889043,0.9577760691189635
0.9584424863062634,0.9578726080797805,0.9585426101840513
0.9589187901881401,0.9582699996702692,0.9592569700788265
0.9555846630150036,0.9548734083993733,0.955997279106009
0.9585615622767325,0.9582895607926897,0.958632166352949
0.9555846630150036,0.954867733017938,0.9558835758835759
0.9578471064539176,0.9575314124541133,0.9578741797447674
